success_rate,end_intensity,achievement
0.4,0.0,0.0
0.71,0.0,0.0
0.57,0.0,0.0
0.5,0.0,0.0
0.64,0.01,0.0064
0.42,0.01,0.0042
0.27,0.01,0.0027
0.34,0.0,0.0
0.52,0.0,0.0
0.51,0.0,0.0
0.53,0.0,0.0
0.45,0.0,0.0
0.59,0.0,0.0
0.52,0.0,0.0
0.51,0.0,0.0
0.62,0.0,0.0
0.52,0.0,0.0
0.43,0.0,0.0
0.51,0.0,0.0
0.35,0.0,0.0
0.39,0.0,0.0
0.38,0.0,0.0
0.43,0.0,0.0
0.48,0.0,0.0
0.44,0.0,0.0
0.53,0.0,0.0
0.46,0.0,0.0
0.39,0.0,0.0
0.45,0.0,0.0
0.28,0.0,0.0
0.36,0.0,0.0
0.39,0.0,0.0
0.4,0.0,0.0
0.37,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.44,0.0,0.0
0.44,0.0,0.0
0.34,0.0,0.0
0.37,0.0,0.0
0.39,0.0,0.0
0.35,0.0,0.0
0.37,0.0,0.0
0.36,0.0,0.0
0.48,0.0,0.0
0.64,0.0,0.0
0.43,0.0,0.0
0.54,0.0,0.0
0.45,0.0,0.0
0.29,0.0,0.0
