success_rate,end_intensity,achievement
0.54,0.0,0.0
0.42,0.0,0.0
0.72,0.0,0.0
0.57,0.0,0.0
0.67,0.0,0.0
0.64,0.01,0.0064
0.43,0.01,0.0043
0.46,0.01,0.0046
0.39,0.0,0.0
0.44,0.0,0.0
0.54,0.0,0.0
0.44,0.0,0.0
0.44,0.0,0.0
0.43,0.0,0.0
0.54,0.0,0.0
0.44,0.0,0.0
0.48,0.0,0.0
0.56,0.0,0.0
0.49,0.0,0.0
0.46,0.0,0.0
0.43,0.01,0.0043
0.44,0.0,0.0
0.54,0.0,0.0
0.57,0.0,0.0
0.47,0.0,0.0
0.63,0.0,0.0
0.57,0.0,0.0
0.48,0.0,0.0
0.51,0.0,0.0
0.42,0.0,0.0
0.57,0.0,0.0
0.5,0.0,0.0
0.4,0.0,0.0
0.51,0.0,0.0
0.45,0.0,0.0
0.37,0.0,0.0
0.51,0.0,0.0
0.36,0.0,0.0
0.45,0.0,0.0
0.49,0.0,0.0
0.54,0.0,0.0
0.39,0.0,0.0
0.41,0.0,0.0
0.37,0.0,0.0
0.41,0.0,0.0
0.6,0.0,0.0
0.51,0.0,0.0
0.51,0.0,0.0
0.51,0.0,0.0
0.53,0.0,0.0
0.49,0.0,0.0
