Success Rate,Difficulty,Success Rate x Difficulty
0.99,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
0.96,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
0.95,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.97,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.99,0.0,0.0
0.99,0.0,0.0
0.98,0.0,0.0
0.98,0.0,0.0
0.97,0.0,0.0
1.0,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
