success_rate,end_intensity,achievement
0.0,0.1,0.0
0.0,0.1,0.0
0.0,0.1,0.0
0.0,0.1,0.0
0.0,0.1,0.0
0.56,0.1,0.05600000000000001
0.93,0.1,0.09300000000000001
0.84,0.1,0.084
0.84,0.1,0.084
0.85,0.1,0.085
0.82,0.1,0.082
0.86,0.1,0.08600000000000001
0.81,0.1,0.08100000000000002
0.89,0.1,0.08900000000000001
0.8,0.1,0.08000000000000002
0.85,0.1,0.085
0.84,0.1,0.084
0.81,0.1,0.08100000000000002
0.8,0.1,0.08000000000000002
0.65,0.1,0.065
0.79,0.1,0.07900000000000001
0.77,0.1,0.07700000000000001
0.82,0.1,0.082
0.76,0.1,0.07600000000000001
0.72,0.1,0.072
0.76,0.1,0.07600000000000001
0.81,0.1,0.08100000000000002
0.68,0.1,0.068
0.61,0.1,0.061
0.78,0.1,0.07800000000000001
0.74,0.1,0.074
0.69,0.1,0.06899999999999999
0.78,0.1,0.07800000000000001
0.77,0.1,0.07700000000000001
0.65,0.1,0.065
0.71,0.1,0.071
0.72,0.1,0.072
0.67,0.1,0.067
0.7,0.1,0.06999999999999999
0.77,0.1,0.07700000000000001
0.73,0.1,0.073
0.69,0.1,0.06899999999999999
0.75,0.1,0.07500000000000001
0.7,0.1,0.06999999999999999
0.71,0.1,0.071
0.65,0.1,0.065
0.69,0.1,0.06899999999999999
0.67,0.1,0.067
0.76,0.1,0.07600000000000001
0.72,0.1,0.072
